Animal Color,Converted number
2824,0
2292,1
1635,2
940,3
931,4
884,5
841,6
773,7
752,8
702,9
672,10
643,11
639,12
628,13
569,14
530,15
517,16
455,17
450,18
450,19
436,20
433,21
389,22
337,23
335,24
333,25
331,26
241,27
232,28
224,29
199,30
198,31
198,32
185,33
183,34
168,35
151,36
137,37
136,38
131,39
115,40
109,41
98,42
96,43
94,44
86,45
85,46
79,47
77,48
74,49
73,50
66,51
62,52
60,53
55,54
55,55
52,56
52,57
51,58
51,59
46,60
45,61
44,62
43,63
43,64
42,65
39,66
39,67
39,68
39,69
38,70
38,71
36,72
35,73
35,74
33,75
33,76
33,77
32,78
30,79
29,80
28,81
26,82
26,83
26,84
26,85
25,86
24,87
24,88
23,89
21,90
20,91
20,92
19,93
19,94
19,95
18,96
18,97
18,98
17,99
17,100
17,101
17,102
16,103
16,104
16,105
16,106
16,107
16,108
15,109
15,110
15,111
15,112
13,113
12,114
12,115
12,116
12,117
12,118
12,119
11,120
11,121
11,122
11,123
11,124
11,125
11,126
10,127
9,128
9,129
9,130
9,131
9,132
8,133
8,134
8,135
8,136
8,137
7,138
7,139
7,140
7,141
7,142
7,143
6,144
6,145
6,146
6,147
6,148
5,149
5,150
5,151
5,152
5,153
4,154
4,155
4,156
4,157
4,158
4,159
4,160
4,161
4,162
4,163
4,164
4,165
4,166
4,167
4,168
4,169
4,170
3,171
3,172
3,173
3,174
3,175
3,176
3,177
3,178
3,179
3,180
3,181
3,182
3,183
3,184
3,185
3,186
3,187
3,188
3,189
3,190
3,191
3,192
3,193
3,194
3,195
3,196
3,197
2,198
2,199
2,200
2,201
2,202
2,203
2,204
2,205
2,206
2,207
2,208
2,209
2,210
2,211
2,212
2,213
2,214
2,215
2,216
2,217
2,218
2,219
2,220
2,221
2,222
2,223
2,224
2,225
2,226
2,227
2,228
2,229
2,230
2,231
2,232
2,233
2,234
2,235
2,236
2,237
2,238
2,239
2,240
2,241
2,242
2,243
2,244
2,245
2,246
1,247
1,248
1,249
1,250
1,251
1,252
1,253
1,254
1,255
1,256
1,257
1,258
1,259
1,260
1,261
1,262
1,263
1,264
1,265
1,266
1,267
1,268
1,269
1,270
1,271
1,272
1,273
1,274
1,275
1,276
1,277
1,278
1,279
1,280
1,281
1,282
1,283
1,284
1,285
1,286
1,287
1,288
1,289
1,290
1,291
1,292
1,293
1,294
1,295
1,296
1,297
1,298
1,299
1,300
1,301
1,302
1,303
1,304
1,305
1,306
1,307
1,308
1,309
1,310
1,311
1,312
1,313
1,314
1,315
1,316
1,317
1,318
1,319
1,320
1,321
1,322
1,323
1,324
1,325
1,326
1,327
1,328
1,329
1,330
1,331
1,332
1,333
1,334
1,335
1,336
1,337
1,338
1,339
1,340
1,341
1,342
1,343
1,344
1,345
1,346
1,347
1,348
1,349
1,350
1,351
1,352
1,353
1,354
1,355
1,356
1,357
1,358
1,359
1,360
1,361
1,362
1,363
1,364
1,365
