AnimalType,AgeUponOutcome,Breed,Color,SexuponOutcome
1,730,1066,130,1
0,90,640,68,2
0,30,632,41,1
1,2555,311,38,3
1,365,1014,88,2
1,1460,407,353,2
1,365,365,114,2
0,60,640,5,1
1,240,609,320,3
0,21,637,346,0
0,60,637,5,2
1,365,1066,320,0
0,1825,640,295,0
0,60,640,5,2
1,730,847,150,3
1,730,227,25,2
0,730,1251,260,2
1,60,696,30,0
0,1460,640,38,2
1,21,438,25,1
0,90,640,111,2
1,365,450,131,2
1,1095,1125,289,3
1,1460,306,98,1
1,1460,8,329,2
1,730,1066,86,3
0,2920,632,332,2
1,2920,1255,252,3
1,3650,847,358,2
0,365,640,139,3
1,120,438,307,3
1,60,1360,274,2
0,365,640,111,4
1,1825,450,36,3
1,28,721,276,0
1,365,1111,98,2
0,180,640,5,3
1,365,984,114,3
0,2,640,104,4
1,1095,1066,98,0
0,60,640,216,2
0,60,639,296,3
1,3650,1196,36,3
0,365,637,63,0
1,1460,1081,130,3
1,300,1066,274,2
0,21,640,68,0
0,7300,640,111,0
1,730,617,36,3
0,180,640,296,3
0,90,640,5,3
1,1460,565,176,2
1,2555,908,320,3
1,365,847,38,2
1,90,696,25,1
0,30,640,111,1
1,365,962,318,2
1,2920,1235,329,1
0,7,640,111,0
1,730,314,130,0
1,210,249,320,1
1,730,1291,38,0
0,4015,640,86,2
1,5840,617,36,0
1,2190,1301,318,2
1,365,44,130,3
0,21,640,63,1
0,120,640,216,3
1,730,1049,307,2
1,150,856,150,1
1,60,940,307,3
1,60,847,38,3
1,365,1066,38,2
0,60,640,5,0
1,150,1105,98,2
1,2190,450,274,2
1,330,617,248,1
0,60,640,296,3
1,365,471,36,3
0,120,640,220,1
0,30,640,5,1
0,60,640,220,2
1,4380,1066,318,1
1,90,1066,329,0
1,2190,847,274,3
0,60,640,5,3
1,365,866,320,2
0,5110,637,318,3
1,1825,847,150,0
1,730,764,131,2
0,60,640,104,3
0,365,640,63,3
1,365,450,353,3
1,90,958,307,3
1,365,450,320,2
1,2555,74,226,3
0,300,640,111,2
0,120,640,104,2
1,365,1066,349,2
0,60,640,41,0
0,90,640,111,3
1,730,450,274,2
1,1095,1255,25,2
1,60,774,318,1
1,1460,1002,25,3
0,60,640,220,2
1,730,936,36,3
0,60,640,104,3
1,365,438,88,3
0,30,640,167,1
1,1460,450,36,3
1,21,847,318,0
0,90,640,104,2
1,2190,547,307,2
1,2190,450,88,0
0,120,945,38,0
0,365,640,291,3
0,60,640,38,2
0,730,247,5,2
0,1095,640,168,2
0,60,640,5,2
1,90,407,324,2
1,2190,711,48,2
0,60,640,38,2
1,330,1214,38,2
1,90,450,274,2
0,60,640,5,2
0,60,636,16,0
1,365,582,100,2
1,365,1066,38,3
1,3650,339,344,2
1,1095,981,204,2
1,730,1026,307,2
1,60,419,38,3
1,730,696,36,2
1,730,1170,353,3
0,60,640,220,2
0,365,640,167,2
0,90,640,5,4
0,60,640,5,0
0,365,640,5,2
1,365,1254,250,1
1,730,74,289,0
1,730,1190,226,2
